chrom	start	end	sample	gt	supporting_sites	sites	DP	switches	CIGAR
X	4755013	4864303	E140	2	47	47	1.70212765957	0	A47
X	4865504	17717342	E140	1	2294	2301	2.29075850044	10	R787A1R206A1R1A2R276A2R202A1R822
I	855	15059713	E141	1	3667	3678	2.18161985274	14	R266A3R554A1R723A1R661A1R101A1R481A2R531A2R350
II	943	15271135	E141	2	4505	4555	2.20621531632	76	A59R1A16R1A190R1A16R1A68R1A59R1A73R1A27R3A273R2A32R3A144R1A158R1A47R1A126R1A50R1A150R1A296R1A35R1A396R1A157R2A51R1A42R1A14R1A47R3A43R1A159R1A265R1A112R1A130R3A212R1A55R2A9R1A8R1A8R1A459R1A11R1A222R2A243R1A43
III	3773	2780834	E141	1	1792	1805	2.66796875	6	R232A1R1339A10R3A2R218
III	2788831	13769991	E141	2	1363	1381	2.68011738811	28	A69R1A18R1A59R1A160R1A41R1A52R1A45R2A34R1A19R1A9R1A456R3A10R1A283R1A1R2A107
IV	57787	3373167	E141	2	574	588	2.44076655052	20	A14R1A115R1A62R1A4R1A55R1A33R2A11R3A9R2A1R1A220R1A50
IV	3379391	17491610	E141	1	3574	3610	2.41997761612	18	R311A8R20A11R527A1R244A1R1A3R196A1R94A5R1A4R915A2R1265
V	396	14511664	E141	2	5070	5093	2.36706114398	26	A665R2A44R1A53R2A1577R2A254R1A72R1A35R5A175R2A10R1A81R3A184R1A359R1A1326R1A235
V	14562201	16372433	E141	1	2709	2710	2.23366555925	2	R321A1R2388
V	16373711	20920888	E141	2	2900	2924	2.13103448276	32	A98R2A630R1A306R1A61R3A180R1A82R2A51R3A191R1A78R1A47R1A80R1A35R2A85R1A25R1A128R2A265R1A558
V	20923258	20923258	E141	1	1	1	1.0	0	R1
X	5163	4752549	E141	1	1114	1119	2.1355475763	8	R429A1R6A1R455A1R141A2R83
X	4755013	4862617	E141	2	36	36	1.72222222222	0	A36
X	4864726	17717342	E141	1	2696	2704	2.20326409496	14	R381A1R757A2R325A1R22A1R634A1R469A1R24A1R84
MtDNA	13420	13420	E141	1	1	1	2.0	0	R1
I	855	4305275	E142	1	1390	1400	2.28129496403	14	R133A1R229A1R78A3R59A1R355A1R5A2R443A1R88
I	4321094	15058691	E142	2	1888	1911	2.37870762712	34	A231R1A170R2A185R1A15R1A111R1A4R1A41R1A18R1A256R1A43R1A172R2A46R4A88R1A238R2A103R1A20R1A3R1A144
II	2118	15276725	E142	2	4725	4777	2.32126984127	78	A60R1A18R1A139R1A80R1A2R1A78R1A81R2A71R2A636R1A1R1A180R1A120R1A90R7A44R1A410R1A98R2A50R2A156R1A238R1A126R1A35R1A25R1A75R1A266R1A39R1A332R1A152R1A16R1A232R1A295R1A94R3A54R2A98R1A38R1A144R1A2R1A41R1A46R1A14R1A49
III	3773	1519760	E142	2	886	898	2.50112866817	14	A216R1A186R6A3R1A1R1A117R1A79R1A165R1A119
III	1521373	3639980	E142	1	396	402	2.4797979798	6	R41A3R1A1R322A2R32
III	3720888	13780512	E142	2	1176	1200	2.56972789116	32	A16R2A34R2A33R1A79R1A106R1A14R3A11R2A36R2A83R1A374R2A1R1A8R1A48R1A6R1A63R2A166R1A98
IV	168873	1896184	E142	2	229	237	2.38427947598	10	A52R1A96R1A25R1A11R3A9R2A36
IV	1909968	17491610	E142	1	3959	3983	2.29451881788	20	R229A1R747A2R2A1R560A2R2A1R3A3R143A1R142A11R954A1R316A1R861
V	1671	4528502	E142	1	3639	3644	2.25501511404	6	R1542A2R306A1R1053A2R738
V	4579308	15918224	E142	2	3298	3331	2.36476652517	48	A67R4A149R1A79R1A74R2A10R1A40R1A23R1A132R1A41R1A49R1A326R2A30R1A523R1A48R1A81R1A313R1A487R1A40R2A24R1A1R1A57R1A19R1A389R3A26R2A270
V	15919917	15920288	E142	1	17	19	2.47058823529	2	R8A2R9
V	15920306	17928924	E142	2	2069	2098	2.45674238763	26	A21R5A4R1A886R1A169R4A170R6A30R1A66R1A210R3A12R1A168R1A107R2A61R2A137R1A28
V	17941165	18518552	E142	1	491	494	1.91649694501	2	R230A3R261
V	18529517	20920088	E142	2	1333	1349	2.19054763691	32	A6R1A53R1A80R1A52R1A48R1A2R1A11R1A45R1A63R1A91R1A16R1A35R1A55R1A30R1A34R1A10R1A702
X	25959	17709225	E142	2	3281	3316	2.25723864675	52	A1R1A257R1A2R1A387R1A21R1A1R1A4R1A3R1A2R1A1R1A1R1A277R1A667R2A63R1A110R1A157R2A241R1A32R5A6R2A413R1A25R1A333R1A26R3A204R1A1R1A15R1A31
I	855	4827489	E143	1	1025	1029	2.19707317073	6	R317A1R335A2R51A1R322
I	4861407	15068010	E143	2	1349	1366	2.04299481097	28	A101R1A154R1A215R1A18R1A149R1A22R2A15R1A2R1A25R1A234R3A8R1A16R1A125R1A149R1A116
II	7241	15271135	E143	2	3727	3766	2.08478669171	58	A151R1A59R1A137R1A63R1A147R1A163R1A13R3A83R1A199R1A103R1A78R1A149R1A38R1A203R3A395R1A194R1A95R2A209R1A413R2A43R1A23R1A54R1A53R1A61R1A228R4A60R2A112R1A146R1A25R1A30
III	3773	13783502	E143	1	2675	2677	2.2014953271	2	R1430A2R1245
IV	77451	2234187	E143	2	221	226	2.12669683258	8	A8R1A123R1A16R2A64R1A10
IV	2240523	17491610	E143	1	2807	2829	2.18596366227	18	R130A4R437A5R706A1R67A4R1A3R1A2R174A1R55A1R314A1R922
V	960	19380608	E143	1	10450	10518	2.19425837321	66	R1053A1R98A1R377A5R1550A2R195A1R213A1R1310A1R3282A1R2A1R3A1R616A1R1A1R574A1R326A1R87A1R1A2R4A1R654A1R1A1R13A3R4A3R1A1R1A2R3A1R2A3R13A3R6A1R8A11R17A8R6A1R2A3R4A2R2A1R21
V	19380649	19395240	E143	2	34	52	1.67647058824	14	A5R4A4R1A7R7A1R1A7R1A4R3A1R1A5
V	19395826	19634297	E143	1	192	215	2.359375	8	R15A4R7A9R9A2R8A8R153
V	19647236	20921462	E143	2	555	556	1.97657657658	2	A156R1A399
X	5241	4749277	E143	1	810	812	1.9975308642	3	A1R304A1R506
X	4762210	4862617	E143	2	24	24	1.70833333333	0	A24
X	4869380	17709225	E143	1	2004	2005	2.14321357285	2	R860A1R1144
I	855	15068010	E145	1	10047	10055	3.45147805315	13	R1161A1R1371A2R3574A1R312A1R3269A1R71A1R289A1
II	943	13166166	E145	1	15555	15575	3.9356477017	26	R538A3R2A2R724A1R6129A1R2444A1R1A1R1A1R3A1R1040A2R1564A1R2785A3R317A1R6A2R1
II	13166220	13207426	E145	2	25	37	4.2	11	R1A7R2A3R2A7R2A1R4A4R1A3
II	13208643	13364488	E145	1	67	95	3.38805970149	26	R1A1R2A1R4A3R7A1R5A1R4A4R2A2R4A5R4A3R7A2R9A1R4A1R5A3R9
II	13366181	13508160	E145	2	61	93	3.26229508197	24	A10R1A3R2A1R3A2R3A3R5A1R2A2R2A6R3A8R3A2R3A2R3A13R2A8
II	13508864	13878643	E145	1	194	303	4.91237113402	110	R4A1R1A1R1A1R9A1R2A1R3A2R2A4R7A1R3A2R1A4R2A1R1A2R2A6R2A1R5A2R1A1R5A1R1A4R1A1R13A1R7A1R3A4R2A1R6A1R2A1R6A12R5A1R5A2R3A2R7A1R2A3R7A2R1A1R2A1R4A6R1A1R8A1R1A1R1A4R2A2R2A1R3A1R6A2R2A3R1A2R3A1R1A2R4A1R8A1R5A1R1A1R2A1R1A4R1A1R12A1R1
II	13878783	14006576	E145	2	60	94	4.01666666667	32	A2R2A5R2A1R1A6R2A1R2A6R3A2R1A4R2A2R2A1R2A2R1A2R6A7R3A3R2A7R1A8R2A1
II	14009589	14383446	E145	1	140	237	4.62142857143	94	R1A2R12A2R13A1R1A2R4A2R7A4R13A2R1A2R3A1R3A4R1A4R3A2R1A1R2A1R2A1R2A5R2A4R2A1R3A3R2A2R1A1R2A1R1A2R4A1R1A1R1A1R2A2R2A1R2A2R2A1R3A2R2A2R3A2R2A3R5A3R1A1R1A4R1A4R6A1R1A1R1A2R1A4R2A3R3A1R5A1R1A2R3A2R3
II	14384014	14477407	E145	2	51	83	4.23529411765	44	A1R1A1R1A4R1A1R1A2R2A1R1A3R1A1R1A1R1A7R2A2R1A3R1A1R1A3R1A3R4A1R1A3R2A1R1A1R4A2R2A6R1A1R1A2
II	14477854	14540410	E145	1	45	75	3.95555555556	30	R9A5R4A1R3A2R1A6R1A1R3A2R3A1R3A4R2A1R2A1R6A2R1A1R2A1R2A1R1A1R2
II	14541594	14620076	E145	2	39	62	4.58974358974	24	A1R1A8R3A6R2A1R4A1R3A1R2A2R1A3R2A2R1A1R1A8R1A2R2A3
II	14621589	14825378	E145	1	79	133	3.6835443038	56	R7A2R2A2R3A4R4A1R10A1R3A5R2A1R1A1R1A1R1A1R1A2R1A5R1A1R2A4R2A2R3A2R3A2R4A1R1A1R4A2R1A1R6A1R3A1R1A2R1A2R2A3R3A1R3A2R3
II	14826361	15044955	E145	2	81	134	4.23456790123	64	A3R2A2R2A7R1A1R2A5R3A1R1A4R1A1R2A3R1A1R1A1R1A1R1A3R2A1R2A3R1A4R1A3R1A3R1A3R1A1R1A1R1A1R8A1R1A2R6A1R1A5R1A1R1A6R1A1R1A1R1A3R2A3R1A4
II	15046115	15067018	E145	1	17	20	4.70588235294	6	R3A1R3A1R4A1R7
II	15068958	15156718	E145	2	45	69	4.62222222222	28	A5R1A5R2A2R2A2R3A3R1A4R1A1R1A7R1A2R1A1R3A4R4A2R1A1R1A1R2A5
II	15157075	15276962	E145	1	82	139	4.21951219512	56	R1A1R7A1R6A3R5A3R5A2R1A6R2A1R6A1R1A4R2A3R5A1R3A1R1A1R2A1R5A1R2A2R1A1R5A2R4A1R1A4R1A1R2A2R2A1R3A4R2A2R1A3R1A1R1A3R4
III	3683	13783502	E145	1	9304	9318	4.3241616509	20	R1807A2R884A3R1256A1R899A1R75A1R166A2R274A1R645A1R927A1R687A1R1684
IV	57787	825085	E145	1	34	49	3.88235294118	14	R2A5R3A2R2A1R1A1R2A2R8A3R8A1R8
IV	826549	981294	E145	2	37	58	4.43243243243	26	A2R1A3R1A1R1A1R1A1R1A1R3A12R1A2R4A4R1A1R1A2R1A1R2A4R3A2
IV	983264	1032079	E145	1	25	33	3.88	8	R1A2R4A3R11A1R5A2R4
IV	1032260	1340022	E145	2	121	181	4.65289256198	42	A7R1A9R1A5R1A3R5A3R3A10R1A4R2A9R7A1R3A3R2A1R1A5R2A2R2A12R2A2R11A9R1A3R8A10R1A1R2A2R3A12R1A8
IV	1340604	1384105	E145	1	21	26	5.14285714286	6	R12A3R2A1R5A1R2
IV	1388897	1519812	E145	2	59	103	3.66101694915	46	A2R1A2R2A4R3A1R1A4R1A4R4A2R1A2R1A2R1A1R1A2R2A1R7A4R4A2R1A3R1A2R1A3R1A2R2A3R1A4R1A1R1A2R5A1R1A5
IV	1520186	2096261	E145	1	219	362	4.26940639269	134	R1A1R4A1R1A1R1A2R2A3R5A1R5A1R6A2R2A1R10A3R2A3R5A9R1A2R1A1R4A1R1A2R2A3R1A4R4A1R4A3R7A5R1A1R5A1R1A9R1A1R1A3R1A1R4A1R2A1R4A1R4A2R4A1R2A3R4A1R3A3R8A1R5A3R1A1R2A1R5A1R1A1R1A4R1A1R3A1R2A1R6A1R1A1R2A1R1A5R2A2R5A1R2A1R4A5R2A4R1A2R1A1R15A3R1A1R5A1R2A2R6A2R10A8R6A3R1A1R1A1R3A1R2A2R5
IV	2100839	2144830	E145	2	28	42	4.46428571429	16	A5R1A2R1A2R4A3R3A1R1A3R2A8R1A2R1A2
IV	2145861	2407992	E145	1	159	240	3.79245283019	72	R5A1R4A3R1A1R3A4R5A2R15A1R4A1R1A1R1A1R1A4R4A5R5A3R1A1R2A1R8A1R4A1R1A1R2A2R2A1R3A7R1A4R3A1R8A1R1A3R4A9R2A4R1A1R3A3R3A1R15A2R9A1R5A3R21A1R4A1R2A3R4A1R1
IV	2409245	2448883	E145	2	30	43	6.63333333333	14	A3R1A2R1A1R3A4R4A2R2A1R1A1R1A16
IV	2449035	2716904	E145	1	189	312	3.93121693122	90	R6A1R3A6R5A1R6A2R2A3R6A11R7A1R1A2R7A1R5A1R3A1R1A5R1A1R2A1R1A1R4A9R3A5R8A3R3A2R9A7R1A2R2A1R3A1R12A2R4A2R6A2R24A7R1A4R2A4R2A1R7A2R1A1R2A3R3A3R3A2R2A3R1A1R3A1R3A7R1A1R1A4R4A2R2A1R7A1R1A1R8
IV	2722805	2862299	E145	2	55	80	4.10909090909	24	A4R1A3R2A1R2A3R3A1R1A5R2A3R1A5R3A6R2A6R4A3R3A13R1A2
IV	2862533	3028207	E145	1	53	73	2.94339622642	26	R2A1R1A1R1A1R4A1R2A1R5A1R2A3R2A2R3A4R3A2R4A1R7A1R2A1R15
IV	3028379	3273083	E145	2	88	151	3.80681818182	64	A2R1A2R1A1R1A4R1A1R4A5R2A1R1A1R1A2R2A1R1A1R1A6R3A1R1A13R1A2R1A3R1A2R3A1R2A1R4A1R2A2R4A6R1A1R3A1R3A2R1A1R2A1R1A4R1A5R2A2R6A7R3A1R2A4
IV	3273273	3389954	E145	1	56	97	5.64285714286	40	R1A1R1A1R4A1R3A1R2A1R4A2R1A4R3A5R3A1R11A4R2A2R1A1R1A3R3A1R5A4R2A2R1A3R2A1R2A2R1A1R3
IV	3390097	3496851	E145	2	90	146	5.9	64	A2R2A1R1A3R1A1R2A1R1A1R4A2R1A16R1A5R1A1R1A2R1A2R4A2R1A1R1A2R3A7R2A1R1A1R2A2R1A1R1A3R1A8R3A2R2A2R1A1R2A1R6A1R2A1R3A2R1A1R1A9R1A2R1A3
IV	3505037	3556824	E145	1	28	40	3.82142857143	12	R5A2R1A3R12A1R1A1R3A3R3A2R3
IV	3556860	3824969	E145	2	97	148	3.80412371134	64	A3R1A1R1A2R1A3R2A1R3A1R1A2R1A3R3A1R1A1R2A7R1A2R1A1R1A1R2A11R3A1R1A9R1A1R2A5R1A3R1A1R1A2R2A1R3A1R3A5R3A1R1A1R3A4R1A2R1A2R1A2R1A13R1A3
IV	3826553	3969634	E145	1	145	213	3.66206896552	45	R4A1R6A1R5A2R1A3R2A1R4A6R3A3R2A1R1A8R3A4R5A3R15A3R11A3R10A3R10A6R11A1R3A1R3A1R2A3R8A5R6A3R1A5R29A1
IV	3969643	4122153	E145	2	134	210	3.9776119403	69	R1A5R1A8R2A2R1A9R3A1R2A1R1A1R2A1R1A4R1A2R1A4R1A6R1A4R2A3R1A6R2A2R3A6R5A10R2A1R3A2R8A4R3A1R1A2R2A4R3A1R3A3R2A9R2A1R3A1R4A8R1A3R5A3R1A1R1A3R1A12
IV	4122381	17491919	E145	1	8126	8190	4.20379030273	58	R2A1R8A2R5A1R1A1R3A1R1A2R2A3R3A3R10A2R1A2R1A3R1A1R1A1R3A5R1A1R3A1R1A1R2A10R3A3R6A1R3A4R1402A1R748A3R1A3R1A4R672A1R297A1R513A1R266A1R4165
V	396	3273622	E145	1	6799	6863	3.62891601706	57	R3A2R3996A1R1062A2R50A1R1A5R1A1R1602A2R15A3R3A1R2A1R9A5R4A2R1A3R2A1R1A1R1A6R4A2R2A3R5A1R4A4R1A2R1A2R2A2R2A1R1A1R1A3R9A1R1A4R13A1
V	3273915	3279000	E145	2	17	18	2.52941176471	1	R1A17
V	3279102	3282691	E145	1	24	28	2.58333333333	4	R16A3R1A1R7
V	3282833	3283316	E145	2	15	15	1.93333333333	0	A15
V	3284116	3305382	E145	1	67	88	2.4328358209	18	R3A1R14A1R16A2R1A4R1A4R3A4R3A3R9A1R11A1R6
V	3305805	3318915	E145	2	25	30	3.76	7	A10R2A10R1A1R1A4R1
V	3319676	3402153	E145	1	89	102	4.33707865169	9	A1R35A3R19A7R4A1R22A1R9
V	3402166	3404133	E145	2	19	24	2.89473684211	4	A13R4A2R1A4
V	3404203	3411487	E145	1	48	57	3.22916666667	9	R4A2R3A1R6A4R15A1R20A1
V	3411542	3423854	E145	2	41	62	3.51219512195	9	R1A10R5A9R3A8R6A3R6A11
V	3423878	3432351	E145	1	57	68	2.85964912281	8	R6A5R10A3R18A2R1A1R22
V	3432688	3524414	E145	2	89	147	3.08988764045	44	A15R5A12R3A5R2A4R13A3R2A5R1A3R2A1R3A7R2A1R5A3R2A1R1A1R1A2R2A1R2A4R1A1R2A3R4A4R2A3R1A6R1A1R1A3
V	3524936	3594578	E145	1	56	89	3.26785714286	30	R9A4R2A1R4A1R13A4R1A2R2A2R2A1R2A1R1A1R2A7R1A2R4A2R1A1R2A1R2A3R8
V	3595288	3730517	E145	2	107	170	3.14018691589	48	A4R2A7R4A13R2A6R2A2R4A1R4A12R1A3R1A1R4A4R1A7R8A6R3A3R4A1R4A2R1A1R1A1R4A10R1A3R1A3R2A3R3A1R1A1R2A4R3A8
V	3730931	3785304	E145	1	92	137	3.17391304348	45	R5A1R3A2R1A2R2A1R2A4R3A1R2A1R1A3R2A2R12A5R8A5R3A1R2A1R1A3R7A2R3A1R1A1R6A1R1A1R2A4R6A1R18A1R1A1
V	3785599	3841520	E145	2	59	93	3.20338983051	29	R1A1R1A8R1A4R3A1R5A7R3A2R2A1R1A4R2A8R2A2R3A1R2A5R2A2R5A4R1A9
V	3842070	3866317	E145	1	67	95	3.97014925373	24	R2A1R4A2R12A1R4A2R2A3R1A4R1A4R1A2R2A1R10A4R6A2R13A2R9
V	3866369	3876991	E145	2	52	67	3.42307692308	14	A8R1A2R3A1R1A28R2A1R1A7R6A2R1A3
V	3877102	3912856	E145	1	97	146	3.92783505155	38	R2A1R2A1R1A2R1A4R6A2R1A2R4A4R22A4R6A2R9A1R4A3R1A9R5A4R6A3R5A1R6A1R1A2R6A2R2A1R7
V	3912929	3917686	E145	2	35	46	4.34285714286	8	A9R1A4R4A2R1A10R5A10
V	3917827	3920519	E145	1	23	28	3.91304347826	4	R11A1R1A4R11
V	3920603	3941136	E145	2	33	49	2.60606060606	14	A5R1A1R2A3R1A4R2A3R3A6R6A5R1A6
V	3941886	3945600	E145	1	80	92	3.275	4	R3A2R58A10R19
V	3945674	3946302	E145	2	21	24	3.33333333333	2	A12R3A9
V	3946347	3958234	E145	1	186	239	4.08602150538	30	R76A1R2A6R2A1R7A3R6A4R33A2R3A3R5A6R8A6R19A5R1A9R3A1R9A4R7A1R3A1R2
V	3958275	4383149	E145	2	160	272	3.125	104	A4R2A4R3A3R1A1R2A2R2A1R1A8R1A2R5A2R5A7R7A3R3A2R1A6R4A3R1A1R2A11R2A2R4A1R1A7R4A1R1A3R1A1R1A3R1A2R1A3R3A4R1A7R2A1R2A4R2A2R1A4R1A2R1A2R2A4R7A2R2A1R1A2R1A1R3A1R5A3R1A1R2A4R2A1R2A3R1A2R1A6R3A2R3A1R2A8R2A3R1A4R1A1R1A1
V	4384162	5088083	E145	1	170	290	3.20588235294	114	R1A1R5A1R2A3R1A2R3A1R3A1R1A3R1A1R3A2R1A2R1A3R1A2R2A2R3A3R5A1R2A2R2A5R3A4R2A1R6A3R2A1R1A1R6A1R11A1R1A4R10A1R4A1R2A1R2A1R1A3R2A4R1A3R2A2R3A1R2A1R1A2R1A1R1A3R8A2R4A6R2A1R4A2R5A4R4A1R2A3R2A1R5A7R1A1R1A2R2A3R1A4R5A2R3A1R8A1R1A1R9A2R1A1R1
V	5090175	5106635	E145	2	22	29	3.5	10	A1R2A3R2A2R1A1R1A1R1A14
V	5106719	5285675	E145	1	121	201	3.27272727273	84	R8A1R2A1R8A1R2A1R1A4R1A3R1A1R2A1R2A3R1A1R1A2R1A1R2A1R1A1R1A1R7A3R4A3R3A1R1A6R1A1R1A2R1A2R7A3R9A1R2A1R6A2R1A5R1A3R2A2R2A1R4A1R1A1R4A2R1A2R1A2R9A1R4A4R2A1R1A1R5A1R1A4R1A1R5
V	5286173	5338034	E145	2	20	26	3.5	10	A3R1A4R1A2R1A5R2A3R1A3
V	5338233	5580769	E145	1	75	130	4.29333333333	56	R8A1R3A1R2A2R4A1R3A2R1A5R1A1R1A6R2A1R5A4R6A1R8A3R1A1R1A5R1A2R1A1R2A1R2A1R1A2R3A1R2A1R1A3R5A3R2A1R2A2R2A1R2A1R1A1R2
V	5581748	5759220	E145	2	80	125	4.1625	40	A4R2A4R1A2R3A6R1A8R1A4R5A5R1A5R2A3R2A3R5A3R6A8R1A3R1A2R4A7R2A2R1A1R2A1R2A1R2A5R1A3
V	5760641	5816949	E145	1	31	46	4.67741935484	18	R5A1R1A3R9A2R3A1R4A3R2A2R1A1R1A1R2A1R3
V	5818577	5855700	E145	2	18	24	4.38888888889	6	A5R1A2R1A8R4A3
V	5856208	5954382	E145	1	39	66	5.66666666667	25	A1R4A3R4A1R2A4R1A1R6A3R4A1R2A2R1A2R2A1R2A5R1A1R7A2R3
V	5955483	6058248	E145	2	37	53	3.05405405405	16	A5R3A3R2A4R2A1R2A6R1A11R1A1R4A3R1A3
V	6058858	6338216	E145	1	75	120	5.86666666667	49	R1A1R2A1R10A3R3A1R1A4R2A1R1A1R12A3R3A1R2A1R1A1R1A3R1A2R1A3R1A3R2A3R1A2R4A1R1A1R8A1R7A2R3A3R1A1R1A1R5A1
V	6338863	6392165	E145	2	66	105	5.25757575758	36	R1A8R2A1R1A1R1A1R1A1R1A1R1A1R1A5R4A5R6A3R2A5R1A2R1A12R4A5R6A6R2A1R2A4R1A4R1
V	6392463	6644154	E145	1	130	213	5.36153846154	69	A1R3A1R14A2R1A5R13A1R3A3R4A4R4A4R7A4R1A5R8A5R1A1R2A1R10A1R3A3R7A1R1A2R3A7R6A1R2A2R2A2R2A3R2A1R3A2R1A1R1A1R4A2R2A4R1A1R5A2R1A2R1A1R2A1R1A5R5A1R4
V	6644460	6842862	E145	2	63	101	7.42857142857	46	A2R1A3R2A1R2A1R1A10R1A1R1A2R2A1R1A2R1A1R1A1R1A2R5A3R1A1R1A1R1A1R2A3R2A2R4A3R1A5R1A1R1A1R4A2R1A13
V	6843453	6976624	E145	1	41	60	5.9756097561	32	R2A1R3A1R3A2R3A1R1A2R2A1R1A1R1A1R3A1R6A1R2A1R3A1R3A1R3A2R1A1R3A1R1
V	6979164	7296314	E145	2	97	162	4.87628865979	74	A1R1A2R1A1R1A2R2A1R1A4R4A3R3A9R2A2R1A1R1A1R1A2R1A2R1A1R1A6R1A3R1A1R5A2R1A1R2A2R2A2R1A3R2A8R7A1R4A1R1A1R1A2R1A1R1A1R1A3R1A10R3A2R1A3R1A1R1A2R1A1R2A1R3A7
V	7297065	7325474	E145	1	53	84	3.52830188679	26	R6A2R2A2R4A1R1A4R3A1R2A1R7A6R5A3R1A1R1A5R10A1R2A3R4A1R5
V	7325562	7328832	E145	2	36	56	4.97222222222	9	A11R8A11R4A5R4A5R1A4R3
V	7328838	7340844	E145	1	181	236	3.55248618785	34	R2A5R6A1R15A5R13A5R3A1R16A5R19A1R7A1R30A2R12A8R5A2R2A1R6A2R2A3R10A2R7A5R2A6R24
V	7340856	7341478	E145	2	24	32	3.83333333333	6	A5R3A2R3A3R2A14
V	7341508	7341899	E145	1	15	15	9.73333333333	0	R15
V	7342081	7344519	E145	2	32	37	3.34375	2	A23R5A9
V	7344547	7346863	E145	1	28	34	3.75	4	R21A5R2A1R5
V	7346933	7350606	E145	2	51	66	4.25490196078	8	A1R1A18R4A16R7A8R3A8
V	7350655	7357389	E145	1	104	128	3.83653846154	16	R3A1R7A1R13A7R1A6R15A2R8A1R16A1R31A5R10
V	7357469	7594891	E145	2	150	229	4.3	74	A15R6A4R1A2R1A3R1A9R10A4R2A2R2A1R1A1R3A15R1A2R1A2R3A7R2A1R1A1R1A1R4A2R2A7R1A1R2A1R1A1R2A3R2A2R1A3R2A2R1A1R1A4R1A1R3A2R1A1R1A8R3A1R1A5R1A1R1A2R4A2R7A9R1A21
V	7595429	7596542	E145	1	31	37	3.8064516129	6	R13A3R5A1R6A2R7
V	7596624	7597969	E145	2	32	45	5.53125	6	A14R1A8R10A4R2A6
V	7598192	7599699	E145	1	28	36	4.75	4	R1A3R19A5R8
V	7599717	7601997	E145	2	42	54	6.69047619048	4	A25R10A2R2A15
V	7602231	7603743	E145	1	23	32	4.91304347826	5	R12A5R2A3R9A1
V	7603760	7605167	E145	2	28	32	7.67857142857	4	A1R2A24R2A3
V	7605184	7610811	E145	1	111	146	5.52252252252	14	R8A4R18A7R4A8R6A6R1A2R23A7R39A1R12
V	7610828	7611678	E145	2	23	25	4.47826086957	2	A20R2A3
V	7611685	7612104	E145	1	17	17	3.0	0	R17
V	7612285	7615123	E145	2	32	48	3.65625	8	A7R1A9R10A1R4A10R1A5
V	7615386	7616007	E145	1	17	20	5.05882352941	1	R17A3
V	7616046	7620405	E145	2	43	49	5.20930232558	3	R3A36R3A7
V	7620446	7621283	E145	1	19	22	4.89473684211	2	R7A3R12
V	7621330	7626889	E145	2	70	96	5.8	18	A10R2A5R2A1R4A1R1A10R9A16R2A7R1A9R2A9R3A2
V	7626896	7627487	E145	1	15	16	3.26666666667	1	A1R15
V	7627606	7627780	E145	2	16	16	3.25	0	A16
V	7627980	7638230	E145	1	123	168	5.58536585366	22	R15A3R5A5R4A1R1A3R11A13R11A6R27A1R32A1R3A1R2A6R11A5R1
V	7638266	7640487	E145	2	41	56	5.65853658537	7	R4A8R4A21R4A8R3A4
V	7640992	7647799	E145	1	56	79	4.17857142857	14	R13A2R4A1R2A2R5A13R2A1R12A3R4A1R14
V	7648075	7649023	E145	2	26	29	3.88461538462	2	A12R3A14
V	7649061	7659529	E145	1	142	199	2.95070422535	30	R7A3R4A2R1A3R10A1R9A8R2A1R1A4R4A4R8A3R8A9R7A7R3A6R11A3R14A1R17A2R36
V	7659603	7660217	E145	2	25	32	4.12	4	A8R3A9R4A8
V	7660292	7661743	E145	1	27	35	3.88888888889	8	R3A2R9A1R1A4R5A1R9
V	7661811	7666363	E145	2	45	64	3.75555555556	8	A13R6A9R6A8R3A4R4A11
V	7666444	7837934	E145	1	141	214	3.93617021277	70	R3A2R41A6R8A1R4A4R2A1R4A1R1A2R2A1R2A3R2A2R1A1R2A3R4A2R1A4R1A2R2A1R5A1R3A1R4A6R4A1R4A2R1A1R2A1R3A1R2A6R6A5R4A1R2A1R1A1R4A3R4A2R1A1R3A1R2A1R3A1R3
V	7839563	9556829	E145	2	183	333	4.14754098361	156	A2R1A5R3A7R1A1R1A3R2A1R3A5R1A3R1A6R1A1R5A1R1A5R2A1R1A3R2A1R3A2R6A3R5A4R1A2R3A2R1A2R2A1R1A1R1A3R1A5R1A2R1A1R1A1R1A2R1A3R1A3R2A1R4A2R1A2R1A2R1A1R3A2R4A1R1A1R3A2R1A3R4A3R2A6R3A1R2A1R3A1R1A2R2A3R4A1R2A1R1A4R1A2R1A7R3A1R1A1R1A2R3A3R1A1R1A1R1A1R1A1R2A1R3A3R1A1R5A1R4A2R1A1R1A1R1A8R3A1R1A1R2A1R4A6R1A1R2A2R1A2R1A1R1A1R2A7
V	9558670	10383717	E145	1	105	193	4.0380952381	96	R5A3R3A2R4A1R4A4R1A3R3A1R3A4R2A3R2A5R5A1R3A2R2A5R1A3R1A1R1A1R5A2R2A1R1A1R3A3R1A1R1A1R1A2R1A1R2A1R1A1R4A2R1A1R2A1R5A1R1A1R1A1R3A2R2A2R1A1R1A1R2A1R1A2R1A1R1A2R1A1R2A1R1A1R2A3R2A2R3A3R1A1R1A2R3A2R5
V	10385600	10663157	E145	2	40	66	3.3	31	A3R2A9R2A1R3A1R1A6R2A1R1A1R2A1R1A1R2A1R1A1R1A4R2A1R1A1R2A1R2A7R1
V	10663759	10752799	E145	1	25	36	4.28	18	A1R2A1R9A1R3A1R1A1R2A1R1A2R2A1R2A1R3A1
